Date,Variable,Anuradhapura,Badulla,Bandarawela,Batticaloa,Colombo,Galle,Hambantota,Jaffna,Moneragala,Katugasthota,Katunayake,Kurunagala,Maha Illuppallama,Mannar,Polonnaruwa,Nuwara Eliya,Pothuvil,Puttalam,Rathmalana,Ratnapura,Trincomalee,Vavuniya,Mattla,Mullaitivu
10/25/2024,Tmin,18.6,17.6,26.0,24.5,26.3,25.3,23.9,22.3,20.1,24.5,23.9,23.5,23.3,23.4,11.7,25.1,24.0,25.2,22.5,23.6,24.4,24.1,25.6,NA
10/25/2024,Rainfall,0.0,0.0,0.0,8.8,9.5,0.6,83.0,0.0,0.0,0.0,0.0,0.0,16.7,0.8,0.0,0.0,8.4,0.9,0.3,0.0,0.0,0.6,0.0,NA
10/26/2024,Tmax,32.2,30.0,26.0,31.4,31.1,30.3,31.3,29.0,33.5,30.4,31.3,32.2,31.6,29.7,33.8,23.3,35.8,31.3,32.6,33.5,33.1,32.0,32.1,NA
10/26/2024,Tmin,24.0,20.2,17.8,26.4,23.9,24.6,25.3,24.8,22.9,21.6,23.9,23.4,23.3,25.7,24.9,14.5,24.6,24.9,24.3,21.5,24.4,24.0,23.8,25.5
10/26/2024,Rainfall,0.0,0.4,1.8,TR,27.8,17.1,0.0,4.0,15.6,5.0,11.5,11.2,10.8,11.0,0.0,7.5,45.5,1.8,2.8,0.8,2.5,0.0,0.0,15.5
10/27/2024,Tmax,32.8,29.1,26.0,31.0,30.7,29.3,31.5,31.6,33.0,30.0,31.2,31.8,31.3,30.8,34.6,20.4,35.0,30.5,31.9,33.5,33.4,32.4,33.0,33.4
10/27/2024,Tmin,24.4,20.7,18.6,24.6,24.4,25.0,24.7,27.1,24.1,21.6,24.2,24.0,24.4,27.4,25.0,14.3,25.1,24.7,24.7,23.2,24.7,24.4,24.1,25.8
10/27/2024,Rainfall,TR,0.0,5.5,62.0,26.3,29.4,0.0,TR,0.0,22.8,3.9,3.4,2.0,0.0,0.0,7.7,2.0,4.4,11.0,4.6,TR,9.0,0.0,0.0
10/28/2024,Tmax,34.2,30.0,27.5,31.2,30.2,29.3,31.4,31.6,33.0,29.2,31.1,31.5,32.0,31.0,34.4,21.2,33.4,31.6,30.5,31.4,33.8,32.5,32.8,34.2
10/28/2024,Tmin,24.8,19.5,17.5,26.1,24.7,25.4,25.9,27.0,22.1,21.9,24.5,25.1,24.5,27.9,24.0,15.2,24.4,25.5,24.4,23.3,24.5,24.6,24.7,25.7
10/28/2024,Rainfall,TR,0.0,0.5,0.2,23.7,17.1,TR,0.0,1.8,2.4,22.6,1.1,0.0,0.0,0.0,0.5,21.9,4.3,16.4,9.6,3.3,0.0,0.0,0.0
10/29/2024,Tmax,33.8,28.4,25.7,31.9,30.8,29.4,31.7,31.9,33.0,29.6,31.1,31.7,31.9,31.3,34.8,20.0,33.9,31.9,31.9,31.8,33.8,32.7,33.5,35.0
10/29/2024,Tmin,24.8,19.1,16.7,27.3,25.1,27.0,26.0,27.2,22.2,22.1,25.2,24.6,24.4,28.1,24.5,15.1,25.4,25.2,24.7,23.4,24.7,25.0,23.7,25.5
10/29/2024,Rainfall,0.0,1.9,0.1,TR,10.1,7.3,0.0,0.0,0.0,TR,5.4,2.1,1.2,0.0,0.0,1.5,0.1,0.1,8.8,27.6,0.0,6.0,0.0,0.0
10/30/2024,Tmax,35.0,29.7,27.5,31.0,31.0,29.6,32.7,32.6,33.1,30.2,31.5,32.4,32.7,31.4,35.1,20.9,32.7,31.8,32.3,32.3,34.2,33.5,34.3,35.4
10/30/2024,Tmin,24.6,18.7,17.0,25.6,26.1,27.0,26.0,26.8,21.6,22.1,25.4,24.5,24.1,25.9,25.0,12.3,23.0,25.1,26.3,24.0,25.0,24.4,23.9,25.9
10/30/2024,Rainfall,0.0,0.1,55.2,1.4,0.3,0.5,0.0,0.0,2.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,46.5,0.0,2.4,5.3,0.0,0.0,0.4,0.0
10/31/2024,Tmax,33.3,30.1,25.8,30.3,31.0,30.1,31.7,32.8,33.2,32.1,31.7,33.0,33.1,31.5,32.2,23.8,33.8,32.3,32.4,34.3,32.0,33.3,33.1,34.2
10/31/2024,Tmin,25.0,19.1,16.9,25.9,25.4,25.8,24.8,24.9,21.9,23.4,24.6,25.4,24.4,26.5,25.5,11.4,25.2,25.1,25.7,23.4,24.7,24.9,23.2,25.9
