Date,Variable,Anuradhapura,Badulla,Bandarawela,Batticaloa,Colombo,Galle,Hambantota,Jaffna,Moneragala,Katugasthota,Katunayake,Kurunagala,Maha Illuppallama,Mannar,Polonnaruwa,Nuwara Eliya,Pothuvil,Puttalam,Rathmalana,Ratnapura,Trincomalee,Vavuniya,Mattala,Mullaitivu,Total Rainfall,Average Rainfall,Max Rainfall,Min Rainfall,Average Northern Plains,Average Eastern Plains,Average Eastern Hills,Average Western Plains,Average Western Hills,Average Southern Plains,8-Day Average Northern Plains,8-Day Average Eastern Plains,8-Day Average Eastern Hills,8-Day Average Western Plains,8-Day Average Western Hills,8-Day Average Southern Plains
03/12/2025,Rainfall,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,11.5,4.6,2.3,1.5,4.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,25.4,1.06,11.5,0.0,0.9,0.1,0.0,1.38,3.9,0.0,,,,,,
03/13/2025,8-day Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.02,0.0,0.23,0.65,0.0
03/13/2025,Rainfall,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,12.3,0.51,11.1,0.0,0.0,0.0,0.0,2.46,0.0,0.0,,,,,,
03/14/2025,Rainfall,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,18.2,0.76,15.2,0.0,0.0,0.0,0.0,0.6,5.07,0.0,,,,,,
03/15/2025,Rainfall,0.0,0.7,3.2,0.1,0.5,0.0,0.0,0.0,3.2,0.0,4.9,1.3,3.1,0.0,0.0,0.6,7.2,25.6,0.5,6.3,6.7,0.0,0.0,0.0,63.9,2.66,25.6,0.0,4.1,3.44,1.95,1.44,2.3,0.0,,,,,,
03/16/2025,Rainfall,0.3,0.9,1.2,17.5,24.9,0.0,0.0,0.0,1.6,0.0,7.4,0.0,0.0,9.2,0.0,0.3,2.8,6.5,32.0,3.4,2.8,10.5,0.0,0.0,121.29999999999998,5.05,32.0,0.0,3.79,4.94,1.05,12.86,1.23,0.0,,,,,,
03/17/2025,Rainfall,2.8,9.7,6.4,0.0,2.4,2.2,14.6,0.9,0.2,36.0,4.2,9.1,0.7,0.0,0.0,14.3,0.2,3.8,2.1,3.4,0.0,0.0,23.9,0.0,136.9,5.7,36.0,0.0,1.17,0.08,8.05,4.0,17.9,19.25,,,,,,
03/18/2025,Rainfall,0.9,4.2,2.5,4.2,0.0,9.6,0.0,0.0,2.1,0.4,0.0,3.3,2.5,0.4,0.0,0.5,8.7,2.1,1.2,22.2,22.8,0.0,0.0,12.6,100.2,4.18,22.8,0.0,2.64,7.56,3.35,2.82,7.7,0.0,,,,,,
03/19/2025,Rainfall,5.3,0.6,3.0,0.6,15.6,14.0,2.9,0.0,0.3,6.1,43.2,3.3,6.1,0.1,5.9,2.5,1.2,6.0,18.4,0.5,0.0,0.0,1.2,0.0,136.8,5.7,43.2,0.0,2.5,1.6,1.8,18.9,3.03,2.05,,,,,,
03/20/2025,8-day Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,2.52,2.31,6.15,5.32,3.04
